index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
22,Victory Square,"200 W Hastings St, Vancouver, BC V6B 1G8",Memorial park,49.28218,-123.11024,,,,,,,,0%,33%,37%,,56%,,,82%,81%,76%,,0%,0%,,0%,0%,0%,,,,,,,0%,,25%,40%,50%,,,75%,,95%,80%,68%,,0%,0%,,0%,0%,,,,,,,0%,0%,,32%,52%,59%,,91%,84%,,98%,70%,0%,,0%,0%,,0%,,,,,,,,0%,41%,,40%,54%,,,92%,98%,,95%,0%,0%,,0%,0%,,,,,,,,0%,,35%,49%,,58%,,62%,,88%,100%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,39%,56%,,,67%,75%,,76%,93%,,0%,0%,0%,,0%,,,,,,,0%,0%,29%,,43%,65%,,76%,77%,79%,,59%,0%,,0%,0%,0%,,66%,,80%,,,,,65%,57%,,67%,,,,
23,Stanley Park,"Vancouver, BC V6G 1Z4",Park,49.29091,-123.14585,,,,,,,0%,0%,0%,24%,27%,25%,,83%,38%,35%,88%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,12%,38%,36%,,51%,90%,38%,33%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,17%,18%,56%,,31%,51%,92%,35%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,32%,24%,25%,,52%,32%,46%,85%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,17%,46%,30%,,90%,55%,29%,39%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,14%,26%,60%,,34%,100%,54%,25%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,17%,20%,37%,,37%,35%,99%,50%,0%,0%,0%,0%,0%,0%,0%,46%,,29%,,,46%,,74%,30%,,34%,,,73%,
24,Yaletown Park,"901 Mainland St, Vancouver, BC V6B 1T2",Park,49.27698,-123.11897,,7%,40%,3%,3%,22%,77%,11%,0%,14%,29%,48%,,22%,29%,33%,18%,3%,29%,37%,18%,22%,33%,0%,,37%,7%,51%,14%,11%,33%,59%,3%,0%,18%,62%,,11%,40%,33%,29%,7%,0%,37%,51%,7%,11%,37%,,25%,59%,3%,11%,3%,3%,22%,70%,7%,14%,29%,,33%,14%,40%,37%,25%,3%,3%,33%,25%,7%,0%,,25%,51%,29%,18%,0%,0%,7%,22%,33%,18%,29%,,100%,33%,25%,29%,40%,44%,0%,7%,22%,11%,18%,,0%,22%,25%,55%,7%,3%,3%,14%,7%,33%,22%,,7%,81%,11%,51%,33%,66%,55%,0%,22%,29%,0%,,7%,7%,14%,22%,59%,3%,7%,7%,33%,7%,29%,,51%,3%,48%,11%,29%,51%,48%,44%,0%,22%,22%,,18%,0%,25%,29%,48%,29%,0%,18%,25%,33%,11%,,33%,70%,7%,14%,18%,29%,29%,55%,59%,0%,33%,22%,29%,51%,11%,18%,70%,0%,14%,62%,18%,33%,3%,18%,14%,
25,Stanley Park Rose Garden,"610 Pipeline Rd, Vancouver, BC V6G 3E2",Garden,49.29853,-123.13332,,,,,,0%,52%,71%,32%,16%,58%,54%,,71%,64%,77%,60%,28%,7%,7%,30%,13%,0%,,,,,,,0%,3%,41%,64%,16%,18%,75%,,66%,60%,37%,54%,56%,35%,1%,5%,24%,0%,,,,,,,0%,13%,13%,62%,56%,30%,39%,,90%,45%,37%,20%,50%,45%,45%,0%,1%,0%,,,,,,,0%,75%,13%,26%,64%,50%,45%,,92%,100%,26%,24%,7%,35%,43%,20%,1%,0%,,,,,,,0%,47%,69%,26%,50%,73%,47%,,90%,86%,73%,20%,11%,9%,37%,35%,11%,0%,,,,,,,0%,41%,49%,45%,45%,77%,79%,,94%,96%,73%,43%,26%,16%,5%,35%,24%,0%,,,,,,,0%,58%,28%,26%,49%,64%,81%,,69%,94%,77%,39%,16%,11%,16%,9%,28%,0%,,73%,,81%,,,79%,,83%,83%,,56%,,,79%,
26,Coopers' Park,"1020 Marinaside Crescent, Vancouver, BC V6Z 3A2",Park,49.27363,-123.11375,,2%,1%,7%,10%,6%,9%,6%,17%,30%,50%,41%,,39%,92%,30%,57%,69%,43%,42%,56%,20%,7%,9%,,14%,6%,0%,2%,11%,12%,14%,18%,29%,30%,64%,,30%,46%,100%,44%,59%,58%,34%,32%,52%,11%,6%,,6%,6%,10%,21%,7%,17%,17%,28%,33%,41%,37%,,52%,34%,53%,93%,53%,64%,51%,23%,24%,44%,11%,,5%,11%,2%,7%,11%,14%,24%,22%,29%,42%,53%,,80%,51%,45%,61%,69%,52%,52%,42%,15%,22%,32%,,14%,4%,13%,0%,4%,13%,16%,33%,23%,27%,49%,,41%,77%,57%,51%,63%,49%,37%,38%,32%,7%,20%,,13%,7%,4%,4%,0%,4%,16%,23%,38%,31%,25%,,47%,42%,77%,58%,52%,58%,37%,22%,28%,22%,4%,,6%,6%,1%,2%,6%,1%,8%,25%,38%,37%,36%,,79%,35%,46%,73%,54%,47%,56%,31%,10%,21%,19%,35%,14%,44%,5%,6%,73%,18%,39%,50%,20%,59%,14%,2%,30%,
28,Oppenheimer Park,"400 Powell St, Vancouver, BC V6A 1G6",Park,49.28265,-123.09436,,,,,,,0%,0%,0%,56%,80%,88%,,81%,91%,75%,78%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,62%,69%,85%,,80%,75%,92%,58%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,80%,87%,78%,,95%,71%,62%,80%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,61%,86%,100%,,83%,87%,61%,53%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,53%,72%,88%,,84%,75%,78%,47%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,56%,65%,76%,,87%,89%,67%,61%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,68%,75%,75%,,87%,84%,86%,54%,0%,0%,0%,0%,0%,0%,0%,82%,,95%,,,83%,,79%,92%,,79%,,,80%,
29,Stanley Park Community Garden,"next to the Tennis Courts, Vancouver, BC V6G 2S1",Community garden,49.187,-123.26293,,50%,40%,20%,50%,0%,0%,0%,20%,40%,10%,0%,,0%,0%,0%,20%,20%,60%,30%,70%,20%,80%,0%,,10%,30%,40%,10%,20%,0%,20%,10%,20%,40%,30%,,20%,0%,10%,0%,40%,10%,30%,10%,40%,50%,40%,,30%,10%,30%,0%,10%,20%,0%,40%,0%,10%,20%,,20%,30%,0%,20%,10%,40%,20%,30%,0%,10%,100%,,30%,10%,20%,30%,40%,20%,20%,10%,50%,10%,0%,,60%,50%,30%,0%,20%,30%,50%,50%,50%,0%,0%,,40%,10%,0%,10%,30%,70%,10%,20%,20%,20%,0%,,10%,70%,30%,20%,0%,20%,20%,30%,50%,20%,10%,,0%,10%,10%,10%,0%,50%,100%,10%,20%,60%,10%,,0%,30%,40%,50%,20%,10%,10%,20%,10%,70%,20%,,40%,10%,0%,10%,0%,10%,20%,50%,0%,10%,60%,,0%,0%,20%,30%,50%,30%,30%,0%,40%,0%,40%,40%,40%,10%,20%,30%,70%,90%,20%,0%,0%,0%,30%,30%,0%,
30,Lost Lagoon Park,"786 Gilford St, Vancouver, BC V6G 2N4",Park,49.2925,-123.13674,,0%,0%,45%,9%,63%,36%,0%,0%,18%,9%,63%,,0%,0%,18%,18%,9%,18%,9%,27%,18%,54%,0%,,36%,0%,18%,36%,36%,27%,63%,0%,0%,18%,27%,,0%,0%,0%,9%,45%,27%,45%,9%,54%,45%,63%,,0%,36%,0%,18%,45%,54%,18%,54%,0%,9%,9%,,45%,9%,0%,9%,9%,36%,36%,54%,9%,36%,45%,,54%,0%,54%,36%,36%,18%,54%,0%,27%,0%,27%,,27%,27%,27%,9%,18%,27%,18%,18%,27%,18%,27%,,36%,27%,0%,63%,81%,45%,9%,36%,0%,9%,0%,,27%,9%,36%,18%,0%,36%,36%,0%,18%,45%,18%,,45%,27%,27%,27%,45%,54%,27%,0%,36%,9%,0%,,63%,9%,0%,36%,27%,0%,27%,36%,0%,18%,27%,,9%,100%,27%,45%,36%,18%,27%,27%,0%,36%,0%,,0%,45%,9%,0%,9%,27%,9%,27%,36%,9%,9%,0%,9%,45%,0%,54%,54%,72%,9%,45%,27%,0%,18%,9%,0%,
31,Emery Barnes Park,"1170 Richards St, Vancouver, BC V6B 3M7",Park,49.27659,-123.12418,,12%,11%,22%,7%,6%,9%,19%,16%,20%,58%,55%,,51%,99%,55%,38%,81%,79%,59%,67%,54%,36%,17%,,36%,11%,9%,18%,6%,9%,12%,28%,21%,37%,72%,,59%,43%,90%,60%,42%,71%,64%,55%,59%,46%,30%,,11%,30%,9%,12%,14%,11%,17%,21%,40%,32%,51%,,67%,68%,54%,88%,66%,45%,68%,47%,48%,49%,31%,,15%,16%,22%,21%,9%,18%,15%,22%,22%,49%,38%,,85%,59%,70%,63%,92%,71%,37%,69%,33%,41%,31%,,15%,18%,13%,8%,27%,6%,29%,13%,27%,35%,71%,,46%,89%,59%,71%,68%,81%,65%,40%,68%,27%,32%,,18%,14%,24%,17%,6%,21%,5%,40%,22%,35%,46%,,49%,40%,92%,63%,65%,69%,71%,54%,36%,59%,20%,,13%,23%,11%,9%,13%,12%,13%,13%,50%,33%,44%,,100%,50%,37%,85%,76%,64%,64%,60%,40%,25%,46%,54%,39%,67%,13%,22%,78%,22%,51%,46%,22%,92%,22%,17%,53%,
32,Hadden Park,"1905 Ogden Ave, Vancouver, BC V6J 1A3",Park,49.27754,-123.14768,,,,,,0%,3%,3%,16%,9%,24%,39%,,35%,42%,84%,45%,14%,17%,22%,12%,13%,0%,,,,,,,0%,1%,7%,5%,22%,14%,33%,,89%,33%,33%,64%,35%,12%,12%,9%,9%,0%,,,,,,,0%,6%,3%,15%,16%,43%,22%,,39%,97%,29%,25%,52%,30%,13%,13%,7%,0%,,,,,,,0%,1%,8%,7%,22%,30%,60%,,33%,43%,100%,24%,24%,48%,16%,10%,7%,0%,,,,,,,0%,0%,3%,16%,13%,28%,51%,,46%,34%,49%,85%,17%,18%,33%,13%,7%,0%,,,,,,,0%,13%,1%,9%,22%,29%,29%,,92%,54%,24%,44%,61%,11%,14%,18%,10%,0%,,,,,,,0%,8%,9%,3%,13%,33%,56%,,56%,92%,53%,22%,27%,36%,11%,11%,14%,0%,,77%,,39%,,,36%,,32%,76%,,55%,,,32%,
33,Thornton Park,"1166 Main St, Vancouver, BC V6A 4B6",Park,49.27395,-123.09926,,,,,,0%,28%,28%,39%,25%,17%,28%,,3%,10%,7%,14%,14%,21%,64%,35%,25%,0%,,,,,,,0%,7%,42%,42%,42%,17%,53%,,50%,10%,7%,7%,0%,14%,14%,39%,39%,0%,,,,,,,0%,25%,3%,32%,25%,21%,7%,,46%,21%,21%,7%,7%,0%,3%,10%,42%,0%,,,,,,,0%,14%,32%,0%,39%,25%,10%,,89%,53%,28%,10%,14%,21%,7%,0%,17%,0%,,,,,,,0%,53%,21%,17%,10%,35%,28%,,28%,42%,21%,57%,3%,14%,21%,35%,0%,0%,,,,,,,0%,32%,35%,10%,21%,25%,14%,,3%,57%,32%,14%,92%,3%,17%,32%,78%,0%,,,,,,,0%,32%,28%,32%,10%,17%,60%,,14%,3%,28%,21%,10%,100%,14%,32%,14%,0%,,53%,,60%,,,57%,,14%,7%,,28%,,,3%,
34,Nelson Park Community Garden,"1203 Comox St #1165, Vancouver, BC V6E 1J2",Community garden,49.28295,-123.13068,,15%,0%,15%,60%,5%,45%,10%,100%,20%,10%,35%,,15%,100%,85%,45%,45%,45%,75%,40%,70%,55%,25%,,55%,40%,0%,30%,35%,15%,20%,0%,55%,60%,20%,,95%,5%,85%,75%,45%,50%,65%,90%,15%,35%,25%,,30%,35%,40%,20%,15%,30%,10%,10%,10%,30%,60%,,5%,80%,15%,45%,40%,20%,15%,30%,55%,0%,30%,,0%,25%,35%,0%,45%,5%,20%,10%,10%,25%,5%,,35%,0%,40%,30%,15%,30%,5%,5%,15%,25%,15%,,15%,5%,5%,70%,0%,75%,5%,25%,5%,25%,45%,,35%,30%,0%,20%,75%,0%,15%,5%,0%,5%,10%,,45%,20%,0%,20%,55%,25%,35%,20%,50%,0%,10%,,15%,20%,35%,0%,25%,55%,20%,25%,10%,15%,10%,,5%,20%,35%,0%,45%,40%,60%,25%,20%,35%,20%,,75%,40%,20%,55%,20%,65%,70%,40%,35%,15%,35%,55%,65%,20%,55%,10%,40%,30%,80%,0%,35%,45%,15%,10%,10%,
35,Gordon Park,"549 W Pender St, Vancouver, BC V6B 1V5",Garden,49.28381,-123.11332,,3%,40%,20%,6%,66%,16%,53%,56%,23%,10%,40%,,56%,50%,23%,6%,3%,0%,0%,10%,10%,33%,3%,,20%,3%,36%,0%,13%,60%,30%,56%,46%,13%,20%,,13%,26%,76%,20%,3%,0%,3%,3%,0%,6%,50%,,20%,10%,3%,50%,0%,6%,30%,16%,30%,36%,10%,,36%,10%,13%,100%,20%,3%,6%,10%,13%,0%,6%,,20%,50%,3%,30%,26%,0%,6%,20%,13%,16%,33%,,76%,60%,6%,6%,60%,40%,6%,13%,20%,36%,10%,,6%,20%,73%,20%,53%,6%,0%,6%,26%,3%,3%,,10%,76%,30%,0%,16%,56%,30%,16%,30%,10%,56%,,30%,6%,20%,26%,40%,80%,3%,0%,26%,20%,13%,,30%,10%,50%,13%,0%,36%,40%,23%,13%,23%,6%,,56%,26%,13%,56%,16%,40%,70%,10%,3%,33%,23%,,13%,50%,16%,16%,0%,0%,23%,30%,36%,6%,36%,13%,23%,30%,3%,30%,43%,13%,16%,23%,23%,3%,56%,10%,26%,
36,Jervis St Park,"1304 Jervis St #1318, Vancouver, BC V6C 3P8",Park,49.2821,-123.136,,41%,16%,0%,0%,8%,8%,16%,25%,58%,16%,8%,,16%,58%,25%,25%,25%,16%,25%,16%,41%,16%,58%,,0%,33%,8%,0%,0%,8%,0%,0%,25%,58%,8%,,8%,41%,41%,50%,8%,25%,16%,16%,8%,16%,8%,,66%,0%,16%,0%,8%,0%,16%,8%,0%,16%,33%,,25%,8%,83%,41%,25%,8%,33%,25%,16%,8%,33%,,8%,25%,0%,0%,0%,25%,0%,8%,25%,0%,33%,,0%,33%,41%,100%,16%,8%,16%,16%,25%,16%,16%,,75%,16%,8%,25%,0%,0%,8%,0%,0%,58%,8%,,8%,8%,75%,50%,75%,16%,8%,8%,8%,8%,25%,,0%,50%,8%,0%,58%,0%,8%,0%,0%,0%,33%,,25%,8%,16%,33%,58%,41%,41%,25%,16%,0%,8%,,41%,8%,33%,16%,0%,41%,16%,33%,8%,0%,0%,,33%,16%,8%,33%,25%,58%,41%,41%,16%,33%,8%,0%,8%,16%,41%,0%,0%,33%,25%,33%,8%,25%,58%,16%,33%,
37,Park in front of Wall Center,"Burrard and Comox, Vancouver, BC V6Z 2S3",Park,49.2805,-123.12709,,100%,16%,12%,12%,12%,20%,0%,32%,12%,20%,16%,,44%,8%,12%,0%,20%,8%,28%,8%,0%,8%,4%,,4%,84%,12%,16%,0%,32%,8%,4%,24%,0%,40%,,28%,32%,20%,16%,4%,20%,12%,12%,4%,0%,0%,,12%,4%,40%,72%,8%,4%,24%,12%,12%,28%,0%,,28%,24%,20%,32%,28%,4%,28%,24%,24%,4%,0%,,0%,32%,8%,0%,56%,4%,8%,28%,16%,4%,44%,,12%,12%,36%,12%,32%,64%,16%,24%,12%,52%,12%,,0%,0%,68%,4%,0%,56%,4%,16%,16%,44%,0%,,0%,12%,4%,72%,20%,52%,48%,36%,28%,8%,80%,,12%,0%,0%,28%,12%,8%,52%,8%,8%,16%,36%,,28%,0%,8%,4%,76%,8%,24%,36%,40%,52%,28%,,48%,8%,0%,8%,20%,4%,16%,36%,12%,8%,20%,,8%,12%,0%,8%,8%,68%,8%,12%,12%,16%,28%,20%,20%,32%,0%,0%,20%,0%,0%,28%,24%,0%,60%,72%,52%,
38,Vanier Park,"1000 Chestnut St, Vancouver, BC V6J 3J9",Park,49.27638,-123.14235,,,,,,0%,4%,12%,13%,33%,42%,56%,,57%,42%,75%,48%,37%,32%,30%,29%,15%,0%,,,,,,,0%,5%,11%,24%,25%,44%,47%,,100%,46%,38%,58%,43%,38%,23%,22%,20%,0%,,,,,,,0%,7%,16%,22%,33%,37%,51%,,72%,95%,43%,36%,38%,39%,40%,15%,13%,0%,,,,,,,0%,9%,12%,30%,39%,42%,52%,,44%,75%,85%,42%,36%,27%,36%,36%,10%,0%,,,,,,,0%,8%,14%,19%,52%,57%,47%,,53%,40%,69%,73%,42%,35%,22%,31%,27%,0%,,,,,,,0%,4%,13%,22%,30%,73%,67%,,75%,52%,36%,57%,56%,43%,30%,18%,24%,0%,,,,,,,0%,7%,8%,20%,30%,45%,88%,,47%,80%,52%,34%,42%,42%,38%,24%,12%,0%,,96%,,66%,,,48%,,52%,62%,,49%,,,64%,
39,Coal Harbour Seaside park,"Vancouver, BC",Park,49.25774,-123.1239,,62%,16%,45%,20%,66%,20%,0%,12%,4%,20%,41%,,0%,33%,54%,20%,0%,0%,66%,37%,4%,50%,20%,,29%,37%,16%,25%,20%,100%,4%,4%,41%,0%,8%,,8%,4%,20%,66%,33%,0%,4%,45%,16%,8%,54%,,25%,50%,45%,4%,33%,25%,45%,4%,8%,54%,0%,,29%,8%,0%,12%,41%,16%,0%,8%,50%,8%,29%,,33%,16%,25%,25%,4%,79%,20%,25%,8%,16%,95%,,16%,41%,12%,0%,33%,41%,12%,0%,33%,50%,0%,,54%,54%,16%,0%,25%,12%,75%,25%,12%,4%,25%,,0%,4%,33%,33%,0%,45%,16%,16%,0%,33%,25%,,4%,29%,29%,58%,0%,16%,29%,79%,33%,29%,0%,,33%,0%,0%,16%,41%,8%,37%,16%,12%,0%,54%,,12%,20%,8%,54%,29%,0%,20%,12%,37%,25%,20%,,70%,29%,12%,0%,4%,50%,16%,12%,37%,25%,4%,20%,20%,25%,20%,33%,12%,62%,0%,50%,0%,37%,12%,41%,0%,
40,Hinge Park,"215 W 1st Ave, Vancouver, BC V5Y 0E5",Park,49.27024,-123.11137,,20%,19%,5%,1%,17%,16%,29%,46%,36%,39%,40%,,39%,90%,54%,68%,72%,48%,32%,45%,26%,33%,6%,,15%,12%,16%,20%,0%,30%,9%,32%,50%,33%,56%,,54%,53%,100%,62%,63%,54%,32%,18%,40%,20%,15%,,12%,22%,5%,2%,10%,5%,39%,6%,41%,44%,19%,,65%,40%,70%,94%,51%,38%,54%,22%,20%,34%,11%,,2%,8%,18%,3%,2%,8%,16%,45%,4%,51%,41%,,77%,84%,41%,90%,73%,45%,17%,31%,13%,17%,18%,,5%,3%,6%,22%,13%,6%,15%,32%,58%,10%,60%,,37%,70%,94%,52%,88%,38%,25%,6%,19%,12%,25%,,9%,13%,1%,10%,19%,32%,17%,16%,39%,66%,22%,,45%,55%,69%,86%,54%,83%,25%,27%,9%,9%,16%,,19%,8%,18%,15%,10%,29%,46%,33%,29%,44%,74%,,77%,52%,67%,66%,70%,41%,63%,26%,25%,5%,8%,61%,9%,46%,6%,6%,69%,5%,20%,47%,11%,66%,24%,19%,30%,
41,George Wainborn Park,"450 Beach Crescent, Vancouver, BC V6Z 3G1",Park,49.27249,-123.12934,,17%,15%,7%,8%,1%,3%,11%,6%,16%,46%,28%,,41%,91%,47%,34%,57%,43%,30%,26%,32%,9%,27%,,9%,18%,14%,12%,7%,0%,5%,11%,12%,18%,57%,,29%,50%,100%,61%,27%,51%,37%,29%,21%,24%,10%,,11%,8%,11%,0%,10%,10%,1%,12%,22%,24%,25%,,38%,36%,59%,89%,68%,24%,37%,31%,26%,18%,12%,,6%,4%,12%,4%,1%,13%,19%,6%,12%,31%,27%,,53%,44%,41%,59%,81%,68%,24%,25%,18%,19%,18%,,8%,5%,0%,15%,10%,4%,14%,21%,13%,24%,52%,,31%,53%,51%,44%,58%,62%,56%,33%,30%,11%,9%,,15%,13%,4%,2%,12%,7%,8%,17%,18%,18%,29%,,37%,31%,54%,55%,41%,47%,43%,29%,28%,31%,8%,,8%,9%,16%,6%,0%,14%,6%,9%,26%,24%,24%,,81%,40%,35%,61%,53%,39%,43%,37%,17%,30%,31%,25%,14%,40%,25%,7%,54%,8%,25%,36%,12%,62%,8%,10%,40%,
42,David Lam Park,"1300 Pacific Blvd, Vancouver, BC V6Z 2Y1",Park,49.27201,-123.1246,,5%,2%,3%,0%,4%,5%,9%,11%,17%,33%,21%,,28%,77%,32%,22%,92%,18%,15%,72%,47%,9%,7%,,8%,4%,1%,1%,1%,6%,7%,16%,15%,16%,50%,,24%,34%,91%,33%,21%,95%,14%,10%,52%,24%,6%,,4%,5%,1%,0%,1%,4%,9%,13%,24%,17%,19%,,31%,26%,42%,100%,32%,20%,95%,10%,8%,33%,10%,,3%,2%,2%,3%,1%,3%,6%,13%,16%,34%,18%,,79%,36%,26%,52%,98%,27%,17%,84%,8%,7%,20%,,2%,3%,1%,2%,3%,2%,5%,10%,16%,20%,40%,,28%,90%,35%,25%,64%,95%,20%,14%,61%,6%,6%,,4%,2%,2%,4%,2%,6%,6%,9%,13%,18%,24%,,24%,29%,96%,31%,23%,76%,87%,14%,11%,35%,4%,,2%,3%,1%,3%,3%,5%,6%,13%,17%,17%,21%,,60%,28%,26%,94%,24%,20%,80%,71%,11%,8%,17%,23%,10%,26%,5%,4%,66%,4%,22%,19%,10%,48%,3%,4%,26%,
