index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.
61,BMO Bank of Montreal ATM,"1766 Robson St, Vancouver, BC V6G 1E2",ATM,49.2908421,-123.1528132,None,None,None,None,None,None,0%,50%,20%,50%,0%,10%,None,0%,0%,20%,20%,20%,50%,40%,0%,30%,50%,70%,None,None,None,None,None,None,0%,40%,20%,0%,20%,0%,None,10%,0%,0%,10%,20%,10%,50%,10%,0%,10%,80%,None,None,None,None,None,None,0%,0%,30%,10%,0%,0%,None,30%,0%,0%,10%,0%,40%,0%,80%,20%,0%,10%,None,None,None,None,None,None,0%,0%,10%,30%,0%,0%,None,30%,70%,20%,0%,30%,10%,90%,0%,30%,20%,0%,None,None,None,None,None,None,0%,0%,10%,0%,80%,0%,None,30%,50%,50%,40%,10%,40%,0%,40%,0%,10%,40%,None,None,None,None,None,None,0%,50%,0%,30%,0%,60%,None,0%,60%,40%,30%,50%,20%,20%,0%,30%,10%,0%,None,None,None,None,None,None,0%,30%,100%,0%,30%,10%,None,0%,10%,30%,50%,20%,30%,10%,30%,10%,30%,20%,0%,10%,10%,10%,0%,0%,,,,,,,,,20%
62,RBC Royal Bank,"1196 Pacific Blvd, Vancouver, BC V6Z 2X7",Bank,49.2739518,-123.1387971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pigeon Park Savings - Cash Dispenser,"346 E Hastings St, Vancouver, BC V6A 1P4",ATM,49.2811228,-123.1143331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Equitable Bank,"777 Hornby St #1240, Vancouver, BC V6Z 1S4",Mortgage lender,49.282966,-123.13972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,TD Canada Trust ATM,"Pacific Centr, 700 W Georgia St, Vancouver, BC V7Y 1A2",ATM,49.282966,-123.13972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,BMO Bank of Montreal,"1004 Hamilton St, Vancouver, BC V6B 2R9",Bank,49.282966,-123.13972,None,None,None,None,None,None,None,0%,0%,19%,19%,54%,None,None,67%,9%,48%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,6%,45%,29%,None,70%,None,64%,6%,45%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,35%,25%,61%,None,67%,83%,None,38%,6%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,38%,48%,None,74%,77%,100%,None,35%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,22%,None,74%,None,58%,74%,64%,83%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,22%,41%,None,None,35%,64%,41%,54%,61%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,16%,45%,45%,None,80%,25%,77%,0%,29%,0%,None,0%,0%,0%,0%,51%,70%,58%,51%,58%,67%,,,,,,,,,
67,RBC Royal Bank - Meeting Place (Cash at ATM Only),"1025 W Georgia St UNIT 104, Vancouver, BC V6E 3N9",Bank,49.282966,-123.13972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,TD Canada Trust ATM,"450 Main St, Vancouver, BC V6A 2T4",ATM,49.2805473,-123.1173777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,United Overseas Bank Limited,"650 W Georgia St, Vancouver, BC V6B 4N7",Bank,49.2819176,-123.1360755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,National Bank Financial - Wealth Management,"475 Howe St Suite 3000, Vancouver, BC V6C 2B3",Investment service,49.2819176,-123.1360755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,RBC Royal Bank - Meeting Place (Cash at ATM only),"1798 Ontario St, Vancouver, BC V5T 0G2",Bank,49.2694235,-123.1224622,None,None,None,None,None,None,None,0%,0%,13%,None,89%,None,None,68%,58%,48%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,34%,10%,None,None,93%,None,75%,41%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,51%,41%,13%,None,51%,79%,None,68%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,65%,31%,None,None,44%,75%,None,58%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,34%,None,51%,None,34%,None,37%,55%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,44%,79%,None,None,51%,37%,None,24%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,68%,93%,None,48%,58%,41%,None,0%,0%,None,0%,0%,0%,None,100%,65%,,20%,48%,62%,,,,,,,,,
72,Scotiabank,"1669 Davie St, Vancouver, BC V6G 1W1",Bank,49.2860232,-123.1575925,None,None,None,None,None,None,None,0%,0%,41%,16%,74%,None,None,80%,35%,35%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,35%,41%,32%,None,58%,None,93%,38%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,38%,48%,45%,None,100%,54%,None,96%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,51%,32%,None,58%,93%,48%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,22%,None,45%,None,64%,41%,100%,32%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,67%,48%,None,None,19%,61%,29%,77%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,6%,74%,67%,None,51%,35%,48%,0%,0%,0%,None,0%,0%,0%,0%,58%,77%,58%,67%,32%,45%,,,,,,,,,
73,Manulife Bank,"1095 W Pender St, Vancouver, BC V6E 2M6",ATM,49.2875799,-123.1377272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Vancity - ATM,"898 W Pender St, Vancouver, BC V6C 1J8",ATM,49.2875799,-123.1377272,None,None,None,None,None,0%,4%,50%,0%,27%,18%,54%,None,13%,50%,18%,9%,54%,31%,27%,100%,31%,36%,40%,None,None,None,None,None,0%,31%,9%,27%,0%,45%,4%,None,40%,31%,40%,9%,18%,95%,27%,27%,54%,13%,40%,None,None,None,None,None,0%,4%,50%,4%,18%,0%,81%,None,31%,18%,27%,27%,0%,36%,68%,9%,40%,54%,9%,None,None,None,None,None,0%,13%,0%,50%,0%,9%,0%,None,13%,18%,4%,31%,18%,0%,31%,36%,22%,59%,27%,None,None,None,None,None,0%,22%,27%,9%,72%,0%,9%,None,31%,18%,13%,13%,54%,36%,4%,45%,22%,36%,45%,None,None,None,None,None,0%,0%,18%,36%,18%,68%,0%,None,18%,13%,18%,13%,27%,54%,31%,9%,77%,9%,72%,None,None,None,None,None,0%,50%,0%,22%,27%,40%,45%,None,31%,40%,4%,31%,27%,59%,72%,22%,27%,68%,4%,54%,31%,4%,45%,9%,27%,,,,,,,,,4%
75,International Commercial Bank of Cathay,"1095 W Pender St Suite 1250, Vancouver, BC V6E 2M6",Bank,49.2875799,-123.1377272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Scotiabank,"1750 Manitoba St, Vancouver, BC V5Y 0H1",Bank,49.2698654,-123.1242682,None,None,None,None,None,None,None,0%,0%,23%,27%,52%,None,None,43%,19%,23%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,15%,27%,27%,None,62%,None,23%,7%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,13%,21%,43%,None,94%,60%,None,25%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,33%,19%,None,54%,100%,49%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,39%,None,41%,None,31%,43%,60%,41%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,11%,23%,None,None,49%,33%,33%,29%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,15%,23%,27%,None,43%,47%,35%,0%,0%,0%,None,0%,0%,0%,0%,47%,76%,43%,43%,39%,45%,,,,,,,,,
77,Industrial and Commercial Bank of China (Canada) Corporate and Premium Banking Office 中国工商银行（加拿大）高端客户服务中心,"Bentall 5, 550 Burrard St Suite 1018, Vancouver, BC V6C 2B5",Bank,49.2857446,-123.1362743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,BMO Bank of Montreal,"958 Denman St, Vancouver, BC V6G 2M2",Bank,49.2897184,-123.155801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,RBC Royal Bank,"505 W Broadway, Vancouver, BC V5Z 1E6",Bank,49.2634866,-123.1333065,None,None,None,None,None,None,None,0%,0%,26%,35%,43%,None,None,56%,71%,56%,0%,22%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,15%,45%,33%,None,62%,None,62%,67%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,47%,15%,49%,None,75%,94%,None,69%,62%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,47%,22%,None,39%,64%,100%,None,77%,26%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,41%,None,45%,None,75%,47%,64%,84%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,43%,30%,None,None,56%,88%,45%,64%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,18%,28%,24%,None,54%,64%,75%,0%,50%,0%,None,0%,0%,0%,0%,39%,50%,37%,52%,49%,54%,,,,,,,,,
80,President's Choice Financial ATM,"586 Granville St, Vancouver, BC V6C 1X5",ATM,49.283584,-123.1339644,None,None,None,None,None,None,0%,52%,17%,0%,70%,0%,None,23%,58%,52%,5%,5%,5%,23%,29%,41%,0%,0%,None,None,None,None,None,None,0%,0%,35%,17%,29%,52%,None,5%,5%,47%,29%,5%,17%,5%,35%,29%,0%,0%,None,None,None,None,None,None,0%,76%,0%,35%,11%,17%,None,0%,0%,23%,41%,58%,17%,11%,11%,11%,0%,0%,None,None,None,None,None,None,0%,11%,70%,23%,11%,29%,None,11%,0%,0%,35%,88%,47%,23%,11%,11%,0%,0%,None,None,None,None,None,None,0%,41%,23%,58%,47%,29%,None,52%,11%,0%,5%,35%,47%,52%,47%,29%,0%,0%,None,None,None,None,None,None,0%,0%,64%,11%,88%,94%,None,100%,52%,5%,5%,11%,29%,35%,17%,23%,0%,0%,None,None,None,None,None,None,0%,11%,0%,52%,5%,52%,None,100%,58%,23%,0%,17%,29%,41%,47%,5%,0%,0%,35%,0%,23%,23%,70%,47%,,,,,,,,,47%
81,The Bank Of Nova Scotia,"1190 Granville St, Vancouver, BC V6B 2G5",Bank,49.2771792,-123.1439622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Private Banking 1859,"1076 Alberni St Suite 201, Vancouver, BC V6E 1A3",Bank,49.2771792,-123.1439622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Valiant Trust Company,"600 - 750 Cambie St, Vancouver, BC V6B 2P1",Bank,49.27864,-123.1318329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Scotiabank,"1408 Continental St, Vancouver, BC V6C 0C6",Bank,49.2752231,-123.1481597,None,None,None,None,None,None,None,0%,0%,54%,63%,81%,None,None,63%,72%,9%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,27%,63%,72%,None,45%,None,36%,100%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,100%,18%,100%,None,54%,100%,None,27%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,63%,27%,None,27%,36%,72%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,36%,None,27%,None,90%,27%,9%,63%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,45%,18%,None,None,18%,72%,54%,0%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,36%,90%,0%,None,54%,63%,36%,0%,0%,0%,None,0%,0%,0%,0%,18%,72%,45%,81%,18%,18%,,,,,,,,,
85,RBC Royal Bank ATM,"1650 Davie St, Vancouver, BC V6G 1V9",ATM,49.285646,-123.1577885,None,None,None,None,None,None,0%,0%,0%,7%,7%,15%,None,7%,15%,23%,23%,7%,15%,7%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,15%,0%,7%,None,61%,15%,0%,53%,7%,7%,7%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,7%,15%,7%,None,23%,92%,30%,7%,46%,0%,0%,15%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,7%,23%,None,23%,30%,100%,15%,0%,53%,0%,7%,38%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,0%,15%,None,15%,30%,23%,46%,15%,0%,15%,7%,30%,0%,0%,None,None,None,None,None,None,0%,0%,0%,15%,7%,0%,None,53%,30%,46%,23%,23%,23%,0%,7%,15%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,15%,7%,None,23%,30%,46%,23%,15%,15%,46%,0%,0%,0%,0%,30%,23%,7%,15%,46%,15%,,,,,,,,,0%
86,Oaken Financial,"200 Granville St #1288, Vancouver, BC V6C 1S4",Investment service,49.2868055,-123.1305408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,DC Bank ATM,"1128 W Hastings St, Vancouver, BC V6E 4R5",ATM,49.2868055,-123.1305408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Vancity - ATM,"183 Terminal Ave #100, Vancouver, BC V6A 4G2",ATM,49.2732445,-123.119238,None,23%,0%,5%,58%,17%,47%,70%,17%,35%,35%,0%,None,29%,11%,5%,23%,17%,0%,11%,0%,5%,0%,17%,None,47%,29%,5%,0%,41%,5%,29%,100%,17%,29%,23%,None,11%,23%,23%,11%,11%,5%,5%,11%,0%,11%,5%,None,5%,17%,47%,0%,0%,23%,0%,29%,64%,23%,11%,None,0%,29%,35%,35%,5%,5%,0%,17%,11%,5%,23%,None,41%,0%,5%,35%,5%,11%,5%,5%,11%,64%,47%,None,17%,0%,41%,11%,17%,0%,0%,5%,35%,5%,17%,None,11%,76%,0%,0%,11%,17%,29%,0%,11%,5%,23%,None,11%,29%,5%,23%,5%,23%,11%,5%,11%,23%,0%,None,0%,5%,58%,11%,11%,17%,11%,35%,0%,5%,5%,None,29%,23%,17%,5%,17%,0%,41%,17%,11%,11%,23%,None,0%,5%,0%,17%,35%,47%,41%,17%,23%,0%,0%,None,0%,17%,47%,23%,0%,29%,0%,17%,11%,29%,29%,0%,0%,35%,0%,47%,17%,,29%,23%,35%,29%,5%,0%,35%,11%
89,Manulife Bank,"1198 Davie St, Vancouver, BC V6E 1N1",ATM,49.2815919,-123.1513983,None,43%,4%,0%,13%,13%,0%,17%,21%,0%,8%,0%,None,17%,8%,13%,56%,0%,4%,73%,8%,65%,8%,4%,None,43%,17%,0%,65%,4%,30%,4%,13%,43%,0%,0%,None,56%,8%,17%,4%,34%,0%,8%,52%,21%,26%,0%,None,43%,73%,4%,8%,39%,0%,21%,17%,17%,43%,8%,None,4%,30%,4%,39%,0%,39%,0%,26%,56%,39%,21%,None,4%,52%,73%,26%,0%,47%,0%,21%,43%,17%,17%,None,0%,17%,39%,0%,60%,0%,17%,0%,65%,34%,21%,None,26%,13%,21%,39%,26%,0%,39%,0%,30%,47%,17%,None,60%,0%,34%,30%,0%,56%,0%,8%,0%,95%,34%,None,4%,34%,26%,0%,30%,21%,0%,34%,0%,56%,30%,None,8%,65%,0%,30%,47%,0%,91%,4%,0%,0%,100%,None,13%,0%,52%,4%,0%,34%,17%,0%,21%,0%,91%,None,13%,8%,60%,0%,13%,82%,4%,60%,13%,0%,4%,65%,0%,0%,26%,13%,26%,,17%,21%,0%,26%,21%,17%,95%,17%
90,Trimark Trust,"The Grosvenor Building, 1040 W Georgia St, Vancouver, BC V6E 2Y2",Bank,49.2849871,-123.1406891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
