index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
57,Twinkie park,"183 Drake St, Vancouver, BC V6Z 2Y8",Park,49.2728498,-123.1402199,None,37%,0%,12%,25%,37%,None,0%,0%,0%,25%,62%,None,None,100%,0%,12%,0%,37%,62%,None,0%,37%,50%,None,0%,75%,0%,0%,25%,25%,None,0%,0%,12%,62%,None,0%,None,87%,0%,0%,0%,25%,50%,None,0%,100%,None,None,0%,37%,25%,12%,12%,25%,None,0%,0%,25%,None,12%,0%,None,37%,0%,0%,12%,25%,25%,None,0%,None,87%,None,0%,0%,62%,37%,12%,12%,None,12%,0%,None,25%,0%,0%,None,25%,0%,12%,37%,62%,0%,None,None,0%,25%,None,12%,0%,25%,12%,37%,12%,None,25%,None,0%,37%,12%,0%,None,25%,0%,25%,12%,50%,0%,None,12%,12%,25%,None,0%,0%,12%,0%,37%,37%,None,None,12%,12%,37%,25%,12%,None,12%,0%,25%,0%,62%,None,0%,0%,25%,12%,None,0%,0%,0%,12%,62%,37%,None,50%,0%,0%,12%,50%,25%,None,0%,12%,37%,0%,12%,0%,25%,,100%,25%,0%,12%,0%,25%,25%,0%,25%,,
58,Granville Loop Park,"1435 W 5th Ave, Vancouver, BC V6Z 1N3",Park,49.2672423,-123.1555652,None,13%,5%,28%,6%,0%,19%,23%,36%,21%,23%,45%,None,79%,75%,89%,84%,82%,79%,20%,19%,39%,13%,4%,None,19%,6%,1%,16%,15%,0%,28%,24%,47%,34%,38%,None,50%,84%,78%,57%,82%,75%,69%,10%,16%,36%,16%,None,2%,17%,5%,12%,17%,16%,1%,30%,39%,49%,61%,None,76%,57%,90%,73%,36%,76%,60%,43%,16%,17%,23%,None,2%,6%,15%,2%,17%,20%,17%,9%,32%,41%,57%,None,84%,71%,60%,83%,71%,30%,52%,57%,16%,20%,27%,None,8%,1%,9%,9%,9%,16%,15%,20%,24%,31%,61%,None,79%,98%,52%,63%,73%,61%,27%,32%,49%,2%,20%,None,31%,5%,0%,21%,12%,20%,26%,20%,23%,42%,47%,None,91%,78%,95%,64%,56%,50%,53%,16%,10%,47%,2%,None,15%,27%,2%,1%,19%,21%,31%,21%,15%,24%,50%,None,82%,100%,71%,89%,69%,28%,27%,42%,16%,4%,45%,56%,34%,67%,2%,6%,79%,21%,78%,65%,26%,65%,17%,6%,56%,
59,Jonathan Rogers Park,"110 W 7th Ave, Vancouver, BC V5Y 1L7",Park,49.2642717,-123.1259906,None,14%,7%,21%,3%,6%,28%,17%,46%,55%,44%,46%,None,61%,99%,52%,59%,64%,30%,58%,46%,32%,17%,14%,None,17%,11%,2%,13%,3%,22%,37%,27%,48%,53%,55%,None,53%,69%,100%,52%,46%,53%,27%,44%,27%,34%,7%,None,7%,11%,7%,10%,12%,16%,36%,52%,35%,43%,55%,None,58%,55%,71%,93%,54%,43%,43%,26%,26%,20%,30%,None,4%,5%,15%,16%,16%,7%,29%,52%,65%,40%,46%,None,73%,53%,38%,64%,87%,42%,37%,36%,25%,18%,9%,None,10%,9%,9%,7%,30%,12%,12%,52%,43%,69%,59%,None,60%,86%,52%,50%,61%,74%,38%,35%,37%,23%,18%,None,9%,7%,13%,19%,7%,32%,21%,23%,52%,53%,61%,None,53%,58%,88%,48%,55%,62%,54%,29%,36%,44%,22%,None,12%,17%,5%,2%,17%,10%,40%,39%,36%,47%,56%,None,94%,52%,54%,81%,38%,63%,56%,44%,21%,23%,39%,65%,30%,44%,11%,4%,65%,21%,60%,46%,10%,81%,17%,14%,57%,
60,Kitsilano Beach Park,"1499 Arbutus St, Vancouver, BC V6J 5N2",Park,49.2739771,-123.1726049,None,2%,1%,1%,2%,3%,3%,5%,9%,14%,26%,26%,None,31%,90%,31%,26%,66%,33%,25%,26%,19%,6%,5%,None,4%,2%,1%,3%,2%,8%,5%,11%,13%,18%,38%,None,26%,35%,98%,34%,25%,57%,26%,19%,19%,9%,4%,None,3%,3%,2%,2%,3%,3%,12%,9%,22%,17%,22%,None,37%,25%,40%,100%,35%,22%,45%,16%,11%,14%,6%,None,3%,2%,3%,1%,1%,4%,4%,15%,14%,36%,24%,None,59%,40%,26%,43%,87%,34%,16%,33%,9%,6%,11%,None,1%,2%,1%,1%,2%,2%,6%,8%,16%,18%,52%,None,28%,66%,41%,27%,43%,71%,28%,12%,22%,5%,3%,None,4%,1%,1%,1%,2%,3%,5%,11%,13%,19%,23%,None,29%,27%,69%,42%,28%,39%,54%,20%,7%,17%,5%,None,2%,2%,2%,1%,1%,3%,6%,10%,17%,21%,21%,None,78%,30%,26%,69%,40%,28%,34%,34%,11%,6%,12%,25%,8%,32%,4%,4%,49%,3%,26%,27%,7%,65%,2%,2%,27%,
61,Burrard Slopes Park,"Vancouver, BC V6J 1R4",Park,49.2664921,-123.1592529,None,42%,0%,14%,25%,5%,5%,0%,34%,28%,28%,45%,None,11%,31%,74%,28%,2%,5%,17%,5%,25%,8%,0%,None,28%,60%,0%,42%,5%,11%,5%,0%,37%,57%,40%,None,0%,17%,40%,100%,14%,0%,0%,14%,0%,11%,11%,None,5%,34%,31%,17%,28%,2%,22%,5%,0%,31%,31%,None,31%,0%,22%,22%,62%,17%,0%,0%,17%,2%,8%,None,22%,11%,28%,14%,22%,40%,2%,17%,14%,0%,37%,None,37%,17%,8%,48%,8%,57%,5%,2%,0%,5%,8%,None,11%,20%,25%,2%,17%,11%,22%,8%,17%,22%,0%,None,22%,37%,14%,20%,37%,0%,40%,5%,11%,0%,2%,None,17%,20%,14%,11%,0%,17%,5%,17%,28%,22%,37%,None,28%,42%,25%,22%,45%,37%,5%,22%,0%,20%,2%,None,0%,25%,8%,0%,14%,0%,31%,14%,14%,31%,11%,None,14%,45%,25%,11%,11%,28%,11%,11%,17%,0%,22%,5%,42%,40%,0%,14%,40%,8%,25%,20%,11%,2%,0%,20%,17%,
62,Andy Livingstone Dog Park,"Unnamed Road, Vancouver, BC",Dog park,49.2781325,-123.1229856,None,None,None,None,None,0%,21%,26%,52%,17%,39%,8%,None,47%,13%,4%,4%,4%,0%,0%,13%,60%,30%,None,None,None,None,None,None,0%,13%,13%,39%,21%,17%,34%,None,8%,47%,17%,4%,8%,4%,0%,8%,21%,100%,None,None,None,None,None,None,0%,34%,21%,8%,43%,8%,21%,None,8%,4%,17%,34%,17%,21%,17%,0%,30%,47%,None,None,None,None,None,None,0%,52%,30%,52%,8%,39%,17%,None,34%,21%,4%,13%,17%,21%,8%,13%,0%,56%,None,None,None,None,None,None,0%,17%,26%,43%,30%,30%,34%,None,21%,34%,30%,13%,8%,8%,34%,8%,4%,4%,None,None,None,None,None,None,0%,39%,26%,13%,30%,17%,39%,None,34%,8%,21%,13%,17%,17%,4%,21%,21%,4%,None,None,None,None,None,None,0%,30%,60%,43%,17%,21%,0%,None,8%,13%,0%,13%,4%,4%,8%,21%,21%,52%,None,4%,,0%,,,26%,,43%,34%,,26%,,,78%,
63,Woodland Park,"705 Woodland Dr, Vancouver, BC V5L 3R2",Park,49.2785139,-123.0914494,None,None,None,None,None,0%,2%,28%,20%,41%,41%,44%,None,98%,44%,94%,83%,55%,46%,54%,16%,29%,0%,None,None,None,None,None,None,0%,15%,10%,32%,14%,48%,50%,None,24%,96%,51%,76%,77%,50%,32%,44%,15%,0%,None,None,None,None,None,None,0%,7%,19%,23%,28%,28%,45%,None,66%,50%,96%,50%,48%,80%,36%,25%,37%,0%,None,None,None,None,None,None,0%,11%,12%,20%,38%,36%,44%,None,68%,66%,64%,66%,54%,24%,80%,20%,12%,0%,None,None,None,None,None,None,0%,22%,12%,16%,18%,42%,54%,None,88%,59%,59%,88%,45%,46%,19%,71%,16%,0%,None,None,None,None,None,None,0%,7%,25%,23%,18%,19%,63%,None,87%,98%,63%,57%,89%,28%,41%,10%,54%,0%,None,None,None,None,None,None,0%,16%,10%,33%,31%,35%,10%,None,66%,100%,96%,66%,50%,71%,24%,25%,5%,0%,None,15%,,59%,,,66%,,66%,81%,,63%,,,75%,
64,Sutcliffe Park,"Island Park Walk, Vancouver, BC V6H 3T9",Park,49.2689836,-123.1531282,None,None,None,None,None,0%,10%,5%,40%,30%,0%,15%,None,25%,15%,50%,20%,50%,40%,60%,30%,35%,0%,None,None,None,None,None,None,0%,5%,20%,0%,25%,20%,0%,None,40%,25%,30%,55%,45%,65%,30%,25%,25%,0%,None,None,None,None,None,None,0%,0%,10%,40%,0%,30%,20%,None,0%,45%,10%,25%,45%,35%,45%,10%,0%,0%,None,None,None,None,None,None,0%,45%,5%,25%,35%,5%,45%,None,15%,5%,65%,10%,40%,50%,30%,35%,10%,0%,None,None,None,None,None,None,0%,15%,30%,15%,10%,60%,15%,None,0%,35%,15%,70%,10%,35%,30%,30%,20%,0%,None,None,None,None,None,None,0%,10%,20%,10%,30%,15%,40%,None,75%,0%,55%,30%,100%,25%,45%,25%,15%,0%,None,None,None,None,None,None,0%,15%,20%,35%,0%,35%,20%,None,20%,85%,10%,55%,45%,95%,20%,40%,40%,0%,None,50%,,5%,,,0%,,5%,70%,,30%,,,45%,
65,China Creek North Park,"1001 E 7th Ave, Vancouver, BC V5T 1E5",Park,49.2649589,-123.1018104,None,None,None,None,None,0%,27%,38%,22%,60%,53%,67%,None,83%,100%,97%,90%,89%,59%,46%,35%,32%,0%,None,None,None,None,None,None,0%,4%,40%,42%,38%,73%,63%,None,70%,83%,96%,99%,84%,79%,44%,38%,27%,0%,None,None,None,None,None,None,0%,21%,5%,48%,44%,63%,79%,None,77%,82%,94%,90%,88%,66%,73%,26%,33%,0%,None,None,None,None,None,None,0%,34%,33%,13%,49%,51%,74%,None,77%,78%,93%,97%,69%,81%,57%,57%,16%,0%,None,None,None,None,None,None,0%,16%,42%,50%,27%,58%,68%,None,87%,90%,94%,88%,97%,54%,66%,50%,40%,0%,None,None,None,None,None,None,0%,12%,22%,42%,59%,48%,80%,None,88%,85%,94%,94%,79%,72%,43%,50%,42%,0%,None,None,None,None,None,None,0%,27%,14%,44%,40%,65%,62%,None,95%,97%,94%,93%,82%,58%,52%,38%,39%,0%,None,68%,,66%,,,73%,,83%,83%,,85%,,,88%,
66,Park Ranger Station,"Stanley Park Dr, Vancouver, BC V6G 3E2",Park,49.2954625,-123.1684494,None,55%,22%,66%,33%,33%,0%,11%,100%,0%,22%,0%,None,22%,22%,0%,11%,11%,44%,11%,11%,44%,33%,44%,None,0%,55%,55%,33%,44%,22%,0%,33%,44%,11%,11%,None,22%,11%,22%,0%,33%,0%,22%,0%,11%,22%,44%,None,11%,0%,33%,66%,66%,22%,22%,0%,66%,22%,0%,None,11%,55%,22%,55%,0%,22%,22%,11%,11%,0%,44%,None,11%,22%,11%,0%,33%,66%,11%,44%,0%,44%,0%,None,11%,44%,44%,22%,33%,11%,33%,22%,0%,11%,0%,None,22%,0%,55%,66%,0%,22%,33%,11%,22%,22%,33%,None,22%,22%,44%,55%,44%,44%,22%,11%,11%,0%,33%,None,11%,44%,0%,33%,44%,33%,0%,11%,22%,11%,55%,None,0%,22%,55%,22%,22%,22%,66%,44%,11%,22%,0%,None,0%,33%,33%,77%,11%,22%,44%,11%,22%,11%,0%,None,22%,0%,11%,22%,22%,11%,11%,44%,44%,22%,22%,11%,22%,0%,22%,22%,0%,44%,11%,0%,0%,22%,11%,22%,66%,
67,Amazon South Tower Dog Park,"345 W Georgia St, Vancouver, BC V6B 1Z1",Park,49.2809886,-123.1320435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Creekside Park,"Vancouver, BC V6J 1E8",Park,49.2721246,-123.1582845,None,None,None,None,None,0%,14%,0%,7%,14%,14%,35%,None,14%,7%,0%,71%,14%,28%,14%,14%,42%,0%,None,None,None,None,None,None,0%,14%,21%,7%,0%,7%,7%,None,0%,0%,7%,0%,35%,14%,14%,21%,14%,21%,None,None,None,None,None,None,0%,7%,14%,42%,21%,0%,0%,None,0%,28%,0%,14%,0%,14%,14%,7%,14%,50%,None,None,None,None,None,None,0%,28%,0%,21%,28%,21%,0%,None,0%,0%,57%,0%,28%,0%,0%,7%,7%,14%,None,None,None,None,None,None,0%,14%,14%,7%,28%,21%,35%,None,0%,0%,0%,100%,7%,28%,0%,0%,0%,14%,None,None,None,None,None,None,0%,21%,14%,14%,14%,7%,21%,None,0%,14%,0%,7%,50%,21%,28%,0%,7%,0%,None,None,None,None,None,None,0%,14%,21%,28%,7%,35%,0%,None,14%,0%,35%,7%,14%,35%,21%,28%,0%,14%,None,0%,,14%,,,0%,,0%,7%,,35%,,,21%,
69,Grandview Park,"1657 Charles St, Vancouver, BC V5L 2T4",Park,49.2734896,-123.0885126,None,None,None,None,None,None,0%,0%,0%,0%,31%,25%,None,76%,41%,55%,87%,58%,36%,25%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,29%,42%,None,54%,78%,41%,50%,70%,50%,28%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,26%,41%,None,33%,60%,77%,42%,44%,53%,47%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,18%,34%,None,54%,38%,57%,75%,40%,31%,37%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,29%,26%,None,78%,65%,43%,51%,66%,39%,24%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,22%,48%,None,45%,93%,71%,44%,43%,54%,32%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,19%,33%,None,38%,51%,100%,64%,43%,35%,37%,0%,0%,0%,0%,45%,,28%,,,44%,,59%,37%,,33%,,,64%,
70,Willow Park,"802 W 7th Ave, Vancouver, BC V5Z 4C1",Park,49.2649343,-123.1400194,None,None,None,None,None,0%,22%,11%,33%,16%,66%,55%,None,55%,61%,16%,72%,22%,33%,33%,5%,0%,0%,None,None,None,None,None,None,0%,22%,16%,27%,27%,44%,61%,None,50%,44%,50%,22%,77%,11%,27%,38%,5%,0%,None,None,None,None,None,None,0%,5%,27%,11%,11%,38%,77%,None,27%,72%,38%,33%,16%,33%,22%,33%,33%,0%,None,None,None,None,None,None,0%,22%,22%,27%,22%,22%,38%,None,88%,22%,66%,27%,22%,27%,16%,11%,11%,0%,None,None,None,None,None,None,0%,16%,5%,38%,33%,11%,38%,None,61%,83%,22%,38%,22%,16%,44%,11%,5%,0%,None,None,None,None,None,None,0%,27%,33%,16%,61%,27%,22%,None,11%,61%,55%,33%,22%,27%,16%,27%,5%,0%,None,None,None,None,None,None,0%,5%,55%,16%,33%,66%,38%,None,61%,5%,55%,38%,27%,33%,22%,5%,22%,0%,None,33%,,27%,,,100%,,94%,27%,,61%,,,33%,
71,Seaforth Peace Park,"1620 Chestnut St, Vancouver, BC V6J 3K1",Park,49.2715356,-123.164081,None,None,None,None,None,0%,21%,21%,9%,24%,15%,6%,None,24%,9%,6%,3%,12%,42%,3%,12%,12%,0%,None,None,None,None,None,None,0%,21%,9%,15%,6%,12%,15%,None,18%,33%,3%,18%,6%,6%,21%,3%,6%,0%,None,None,None,None,None,None,0%,18%,36%,12%,9%,6%,33%,None,24%,3%,36%,3%,18%,21%,9%,9%,12%,0%,None,None,None,None,None,None,0%,57%,30%,66%,6%,3%,3%,None,6%,42%,3%,51%,9%,12%,42%,18%,6%,0%,None,None,None,None,None,None,0%,60%,36%,27%,48%,3%,3%,None,100%,3%,42%,9%,39%,24%,12%,54%,27%,0%,None,None,None,None,None,None,0%,3%,54%,30%,36%,54%,3%,None,0%,66%,6%,39%,21%,21%,24%,6%,51%,0%,None,None,None,None,None,None,0%,27%,6%,36%,27%,15%,57%,None,3%,3%,30%,6%,51%,9%,12%,21%,3%,0%,None,42%,,9%,,,12%,,60%,0%,,0%,,,12%,
72,Guelph Park,"2390 Brunswick St, Vancouver, BC V5T 3L8",City park,49.2642679,-123.1141756,None,None,None,None,None,0%,8%,12%,15%,37%,32%,27%,None,38%,66%,80%,69%,59%,59%,47%,52%,17%,0%,None,None,None,None,None,None,0%,3%,16%,13%,12%,40%,27%,None,97%,65%,63%,67%,72%,48%,43%,32%,39%,0%,None,None,None,None,None,None,0%,7%,10%,17%,20%,22%,52%,None,66%,87%,69%,57%,59%,85%,41%,31%,20%,0%,None,None,None,None,None,None,0%,11%,10%,16%,12%,34%,32%,None,40%,93%,83%,70%,57%,41%,78%,24%,23%,0%,None,None,None,None,None,None,0%,23%,27%,21%,29%,16%,39%,None,69%,62%,100%,83%,60%,49%,31%,70%,16%,0%,None,None,None,None,None,None,0%,12%,31%,34%,21%,42%,21%,None,72%,67%,64%,86%,78%,54%,44%,16%,31%,0%,None,None,None,None,None,None,0%,8%,11%,46%,42%,23%,66%,None,60%,79%,61%,66%,71%,63%,56%,27%,18%,0%,None,86%,,40%,,,25%,,66%,50%,,58%,,,30%,
73,Komagata Maru Memorial,"Vancouver, BC",Memorial park,49.289697,-123.1377099,None,None,None,None,None,None,0%,0%,29%,0%,45%,20%,None,12%,4%,12%,58%,20%,66%,33%,33%,20%,62%,0%,None,None,None,None,None,None,0%,0%,41%,12%,4%,29%,None,0%,4%,12%,16%,45%,8%,37%,16%,37%,8%,0%,None,None,None,None,None,None,0%,0%,0%,41%,4%,12%,None,16%,8%,0%,29%,33%,54%,0%,33%,8%,25%,0%,None,None,None,None,None,None,0%,0%,100%,4%,37%,4%,None,16%,29%,20%,0%,62%,20%,20%,4%,20%,16%,0%,None,None,None,None,None,None,0%,0%,29%,62%,16%,45%,None,16%,16%,54%,58%,12%,37%,25%,8%,12%,33%,0%,None,None,None,None,None,None,0%,0%,20%,20%,50%,33%,None,16%,20%,16%,54%,54%,29%,33%,25%,0%,4%,0%,None,None,None,None,None,None,0%,0%,0%,45%,29%,16%,None,16%,16%,29%,33%,45%,58%,54%,16%,41%,0%,0%,8%,,20%,,,25%,,12%,12%,,33%,,,29%,
74,Brockton Point Totem Pole,"Brockton Point Trail, Vancouver, BC",Park,49.2993052,-123.1388898,None,0%,10%,40%,10%,50%,80%,20%,40%,20%,0%,40%,None,10%,20%,50%,20%,60%,70%,30%,0%,40%,30%,0%,None,40%,0%,10%,50%,30%,20%,50%,50%,30%,50%,0%,None,20%,0%,20%,20%,30%,20%,30%,10%,10%,20%,60%,None,0%,40%,0%,0%,60%,10%,10%,70%,40%,30%,40%,None,30%,50%,0%,60%,10%,30%,20%,10%,0%,20%,0%,None,40%,10%,40%,10%,10%,70%,20%,0%,50%,20%,50%,None,20%,30%,80%,0%,50%,0%,10%,30%,0%,0%,20%,None,10%,30%,0%,0%,30%,30%,100%,40%,10%,90%,10%,None,20%,20%,40%,50%,0%,40%,0%,10%,60%,0%,0%,None,40%,20%,20%,50%,0%,60%,10%,70%,70%,30%,70%,None,70%,20%,60%,40%,60%,0%,40%,0%,20%,30%,0%,None,20%,30%,20%,20%,50%,10%,60%,10%,30%,50%,10%,None,40%,50%,30%,60%,70%,30%,0%,30%,10%,10%,20%,0%,30%,20%,10%,40%,0%,0%,30%,80%,20%,40%,10%,0%,40%,
75,Beaver Lake,"Vancouver, BC",City park,49.3040441,-123.1571424,None,18%,25%,22%,3%,3%,0%,3%,40%,7%,22%,70%,None,11%,11%,11%,40%,22%,40%,3%,14%,25%,25%,0%,None,7%,11%,11%,29%,0%,14%,0%,0%,29%,18%,37%,None,3%,33%,25%,3%,51%,29%,25%,11%,29%,33%,59%,None,14%,18%,11%,11%,33%,0%,29%,0%,3%,7%,25%,None,14%,0%,44%,11%,7%,48%,18%,22%,11%,18%,33%,None,51%,14%,40%,48%,7%,22%,3%,51%,3%,11%,7%,None,51%,3%,0%,62%,11%,18%,22%,22%,11%,3%,18%,None,25%,29%,25%,18%,100%,7%,18%,7%,40%,7%,22%,None,48%,33%,11%,0%,51%,18%,37%,14%,14%,11%,11%,None,14%,18%,29%,11%,7%,74%,3%,29%,18%,44%,3%,None,11%,29%,29%,11%,0%,37%,37%,18%,7%,11%,14%,None,51%,18%,33%,0%,3%,0%,88%,3%,18%,37%,18%,None,7%,14%,22%,18%,18%,0%,14%,25%,14%,3%,7%,14%,3%,33%,3%,66%,51%,22%,48%,14%,11%,11%,25%,29%,3%,
76,Seawall Water Walk,"1199 W Cordova St, Vancouver, BC V6E 4T1",Hiking area,49.2903373,-123.1393619,None,11%,10%,14%,5%,3%,24%,21%,8%,16%,17%,47%,None,51%,100%,32%,35%,75%,41%,35%,18%,23%,9%,1%,None,11%,8%,8%,7%,7%,7%,20%,29%,16%,29%,29%,None,18%,41%,92%,38%,37%,67%,31%,21%,10%,8%,15%,None,10%,10%,7%,9%,3%,16%,7%,29%,23%,29%,40%,None,68%,31%,28%,80%,40%,23%,52%,12%,21%,10%,3%,None,7%,14%,14%,1%,8%,1%,16%,11%,28%,36%,49%,None,62%,69%,40%,28%,64%,47%,15%,47%,5%,16%,16%,None,8%,2%,11%,3%,2%,10%,3%,27%,11%,47%,45%,None,35%,74%,69%,54%,30%,68%,30%,5%,23%,2%,8%,None,7%,10%,2%,15%,8%,3%,4%,5%,25%,20%,52%,None,55%,31%,85%,63%,58%,34%,63%,17%,3%,16%,7%,None,4%,9%,3%,4%,22%,15%,9%,7%,7%,38%,18%,None,85%,48%,42%,85%,55%,52%,32%,47%,11%,1%,14%,20%,17%,61%,5%,8%,49%,7%,34%,55%,9%,71%,4%,7%,60%,
